Time_ms,Mode,Setpoint_RPM,Setpoint_PWM,Actual_RPM,PWM_Output,Voltage_V,Delta_Count,Raw_RPM,X_hat,Dir,KF_W,KF_V,TrustRatio,LQG_L,NoiseN,NoiseDone
423970,0,0,250,40.24,250,3.003,7,44.81,40.24,1,0.01,0.05,0.2,0.3,0,1
423980,0,0,250,39.87,250,3.003,6,38.41,39.87,1,0.01,0.05,0.2,0.3,0,1
423990,0,0,250,39.58,250,3.003,6,38.41,39.58,1,0.01,0.05,0.2,0.3,0,1
424000,0,0,250,39.35,250,3.003,6,38.41,39.35,1,0.01,0.05,0.2,0.3,0,1
424010,0,0,250,39.16,250,3.003,6,38.41,39.16,1,0.01,0.05,0.2,0.3,0,1
424020,0,0,250,39.01,250,3.003,6,38.41,39.01,1,0.01,0.05,0.2,0.3,0,1
424030,0,0,250,38.89,250,3.003,6,38.41,38.89,1,0.01,0.05,0.2,0.3,0,1
424040,0,0,250,40.08,250,3.003,7,44.81,40.08,1,0.01,0.05,0.2,0.3,0,1
424050,0,0,250,39.74,250,3.003,6,38.41,39.74,1,0.01,0.05,0.2,0.3,0,1
424060,0,0,250,40.76,250,3.003,7,44.81,40.76,1,0.01,0.05,0.2,0.3,0,1
424070,0,0,250,40.29,250,3.003,6,38.41,40.29,1,0.01,0.05,0.2,0.3,0,1
424080,0,0,250,39.91,250,3.003,6,38.41,39.91,1,0.01,0.05,0.2,0.3,0,1
424090,0,0,250,39.61,250,3.003,6,38.41,39.61,1,0.01,0.05,0.2,0.3,0,1
424100,0,0,250,39.37,250,3.003,6,38.41,39.37,1,0.01,0.05,0.2,0.3,0,1
424110,0,0,250,39.18,250,3.003,6,38.41,39.18,1,0.01,0.05,0.2,0.3,0,1
424120,0,0,250,40.31,250,3.003,7,44.81,40.31,1,0.01,0.05,0.2,0.3,0,1
424130,0,0,250,39.93,250,3.003,6,38.41,39.93,1,0.01,0.05,0.2,0.3,0,1
424140,0,0,250,39.63,250,3.003,6,38.41,39.63,1,0.01,0.05,0.2,0.3,0,1
424150,0,0,250,39.38,250,3.003,6,38.41,39.38,1,0.01,0.05,0.2,0.3,0,1
424160,0,0,250,40.47,250,3.003,7,44.81,40.47,1,0.01,0.05,0.2,0.3,0,1
424170,0,0,250,40.06,250,3.003,6,38.41,40.06,1,0.01,0.05,0.2,0.3,0,1
424180,0,0,250,39.73,250,3.003,6,38.41,39.73,1,0.01,0.05,0.2,0.3,0,1
424190,0,0,250,39.47,250,3.003,6,38.41,39.47,1,0.01,0.05,0.2,0.3,0,1
424200,0,0,250,40.54,250,3.003,7,44.81,40.54,1,0.01,0.05,0.2,0.3,0,1
424210,0,0,250,40.11,250,3.003,6,38.41,40.11,1,0.01,0.05,0.2,0.3,0,1
424220,0,0,250,39.77,250,3.003,6,38.41,39.77,1,0.01,0.05,0.2,0.3,0,1
424230,0,0,250,40.78,250,3.003,7,44.81,40.78,1,0.01,0.05,0.2,0.3,0,1
424240,0,0,250,40.31,250,3.003,6,38.41,40.31,1,0.01,0.05,0.2,0.3,0,1
424250,0,0,250,39.93,250,3.003,6,38.41,39.93,1,0.01,0.05,0.2,0.3,0,1
424260,0,0,250,39.62,250,3.003,6,38.41,39.62,1,0.01,0.05,0.2,0.3,0,1
424270,0,0,250,40.66,250,3.003,7,44.81,40.66,1,0.01,0.05,0.2,0.3,0,1
424280,0,0,250,40.21,250,3.003,6,38.41,40.21,1,0.01,0.05,0.2,0.3,0,1
424290,0,0,250,39.85,250,3.003,6,38.41,39.85,1,0.01,0.05,0.2,0.3,0,1
424300,0,0,250,40.84,250,3.003,7,44.81,40.84,1,0.01,0.05,0.2,0.3,0,1
424310,0,0,250,40.36,250,3.003,6,38.41,40.36,1,0.01,0.05,0.2,0.3,0,1
424320,0,0,250,39.97,250,3.003,6,38.41,39.97,1,0.01,0.05,0.2,0.3,0,1
424330,0,0,250,40.94,250,3.003,7,44.81,40.94,1,0.01,0.05,0.2,0.3,0,1
424340,0,0,250,40.43,250,3.003,6,38.41,40.43,1,0.01,0.05,0.2,0.3,0,1
424350,0,0,250,41.31,250,3.003,7,44.81,41.31,1,0.01,0.05,0.2,0.3,0,1
424360,0,0,250,40.73,250,3.003,6,38.41,40.73,1,0.01,0.05,0.2,0.3,0,1
424370,0,0,250,40.27,250,3.003,6,38.41,40.27,1,0.01,0.05,0.2,0.3,0,1
424380,0,0,250,39.9,250,3.003,6,38.41,39.9,1,0.01,0.05,0.2,0.3,0,1
424390,0,0,250,40.88,250,3.003,7,44.81,40.88,1,0.01,0.05,0.2,0.3,0,1
424400,0,0,250,40.39,250,3.003,6,38.41,40.39,1,0.01,0.05,0.2,0.3,0,1
424410,0,0,250,41.27,250,3.003,7,44.81,41.27,1,0.01,0.05,0.2,0.3,0,1
424420,0,0,250,40.7,250,3.003,6,38.41,40.7,1,0.01,0.05,0.2,0.3,0,1
424430,0,0,250,40.24,250,3.003,6,38.41,40.24,1,0.01,0.05,0.2,0.3,0,1
424440,0,0,250,39.88,250,3.003,6,38.41,39.88,1,0.01,0.05,0.2,0.3,0,1
424450,0,0,250,40.86,250,3.003,7,44.81,40.86,1,0.01,0.05,0.2,0.3,0,1
424460,0,0,250,40.37,250,3.003,6,38.41,40.37,1,0.01,0.05,0.2,0.3,0,1
424470,0,0,250,41.26,250,3.003,7,44.81,41.26,1,0.01,0.05,0.2,0.3,0,1
