Time_ms,Mode,Setpoint_RPM,Setpoint_PWM,Actual_RPM,PWM_Output,Voltage_V,Delta_Count,Raw_RPM,X_hat,Dir,KF_W,KF_V,TrustRatio,LQG_L,NoiseN,NoiseDone
1138210,0,0,250,20.47,250,3.003,4,25.61,20.47,1,1.974374,9.871872,0.2,0.303981,1000,1
1138220,0,0,250,21.5,250,3.003,4,25.61,21.5,1,1.974374,9.871872,0.2,0.303981,1000,1
1138230,0,0,250,22.32,250,3.003,4,25.61,22.32,1,1.974374,9.871872,0.2,0.303981,1000,1
1138240,0,0,250,22.98,250,3.003,4,25.61,22.98,1,1.974374,9.871872,0.2,0.303981,1000,1
1138250,0,0,250,24.79,250,3.003,5,32.01,24.79,1,1.974374,9.871872,0.2,0.303981,1000,1
1138260,0,0,250,24.95,250,3.003,4,25.61,24.95,1,1.974374,9.871872,0.2,0.303981,1000,1
1138270,0,0,250,26.36,250,3.003,5,32.01,26.36,1,1.974374,9.871872,0.2,0.303981,1000,1
1138280,0,0,250,27.49,250,3.003,5,32.01,27.49,1,1.974374,9.871872,0.2,0.303981,1000,1
1138290,0,0,250,28.4,250,3.003,5,32.01,28.4,1,1.974374,9.871872,0.2,0.303981,1000,1
1138300,0,0,250,29.12,250,3.003,5,32.01,29.12,1,1.974374,9.871872,0.2,0.303981,1000,1
1138310,0,0,250,29.7,250,3.003,5,32.01,29.7,1,1.974374,9.871872,0.2,0.303981,1000,1
1138320,0,0,250,30.16,250,3.003,5,32.01,30.16,1,1.974374,9.871872,0.2,0.303981,1000,1
1138330,0,0,250,31.81,250,3.003,6,38.41,31.81,1,1.974374,9.871872,0.2,0.303981,1000,1
1138340,0,0,250,33.13,250,3.003,6,38.41,33.13,1,1.974374,9.871872,0.2,0.303981,1000,1
1138350,0,0,250,32.91,250,3.003,5,32.01,32.91,1,1.974374,9.871872,0.2,0.303981,1000,1
1138360,0,0,250,34.01,250,3.003,6,38.41,34.01,1,1.974374,9.871872,0.2,0.303981,1000,1
1138370,0,0,250,34.89,250,3.003,6,38.41,34.89,1,1.974374,9.871872,0.2,0.303981,1000,1
1138380,0,0,250,34.31,250,3.003,5,32.01,34.31,1,1.974374,9.871872,0.2,0.303981,1000,1
1138390,0,0,250,35.13,250,3.003,6,38.41,35.13,1,1.974374,9.871872,0.2,0.303981,1000,1
1138400,0,0,250,35.79,250,3.003,6,38.41,35.79,1,1.974374,9.871872,0.2,0.303981,1000,1
1138410,0,0,250,36.31,250,3.003,6,38.41,36.31,1,1.974374,9.871872,0.2,0.303981,1000,1
1138420,0,0,250,36.73,250,3.003,6,38.41,36.73,1,1.974374,9.871872,0.2,0.303981,1000,1
1138430,0,0,250,37.07,250,3.003,6,38.41,37.07,1,1.974374,9.871872,0.2,0.303981,1000,1
1138440,0,0,250,37.34,250,3.003,6,38.41,37.34,1,1.974374,9.871872,0.2,0.303981,1000,1
1138450,0,0,250,38.83,250,3.003,7,44.81,38.83,1,1.974374,9.871872,0.2,0.303981,1000,1
1138460,0,0,250,38.75,250,3.003,6,38.41,38.75,1,1.974374,9.871872,0.2,0.303981,1000,1
1138470,0,0,250,38.68,250,3.003,6,38.41,38.68,1,1.974374,9.871872,0.2,0.303981,1000,1
1138480,0,0,250,38.63,250,3.003,6,38.41,38.63,1,1.974374,9.871872,0.2,0.303981,1000,1
1138490,0,0,250,39.87,250,3.003,7,44.81,39.87,1,1.974374,9.871872,0.2,0.303981,1000,1
1138500,0,0,250,39.57,250,3.003,6,38.41,39.57,1,1.974374,9.871872,0.2,0.303981,1000,1
1138510,0,0,250,39.34,250,3.003,6,38.41,39.34,1,1.974374,9.871872,0.2,0.303981,1000,1
1138520,0,0,250,40.44,250,3.003,7,44.81,40.44,1,1.974374,9.871872,0.2,0.303981,1000,1
1138530,0,0,250,40.03,250,3.003,6,38.41,40.03,1,1.974374,9.871872,0.2,0.303981,1000,1
1138540,0,0,250,40.99,250,3.003,7,44.81,40.99,1,1.974374,9.871872,0.2,0.303981,1000,1
1138550,0,0,250,40.47,250,3.003,6,38.41,40.47,1,1.974374,9.871872,0.2,0.303981,1000,1
1138560,0,0,250,40.06,250,3.003,6,38.41,40.06,1,1.974374,9.871872,0.2,0.303981,1000,1
1138570,0,0,250,41.01,250,3.003,7,44.81,41.01,1,1.974374,9.871872,0.2,0.303981,1000,1
1138580,0,0,250,41.77,250,3.003,7,44.81,41.77,1,1.974374,9.871872,0.2,0.303981,1000,1
1138590,0,0,250,41.1,250,3.003,6,38.41,41.1,1,1.974374,9.871872,0.2,0.303981,1000,1
1138600,0,0,250,40.56,250,3.003,6,38.41,40.56,1,1.974374,9.871872,0.2,0.303981,1000,1
1138610,0,0,250,41.41,250,3.003,7,44.81,41.41,1,1.974374,9.871872,0.2,0.303981,1000,1
1138620,0,0,250,42.09,250,3.003,7,44.81,42.09,1,1.974374,9.871872,0.2,0.303981,1000,1
1138630,0,0,250,41.36,250,3.003,6,38.41,41.36,1,1.974374,9.871872,0.2,0.303981,1000,1
1138640,0,0,250,42.05,250,3.003,7,44.81,42.05,1,1.974374,9.871872,0.2,0.303981,1000,1
1138650,0,0,250,42.6,250,3.003,7,44.81,42.6,1,1.974374,9.871872,0.2,0.303981,1000,1
1138660,0,0,250,41.76,250,3.003,6,38.41,41.76,1,1.974374,9.871872,0.2,0.303981,1000,1
1138670,0,0,250,42.37,250,3.003,7,44.81,42.37,1,1.974374,9.871872,0.2,0.303981,1000,1
1138680,0,0,250,42.86,250,3.003,7,44.81,42.86,1,1.974374,9.871872,0.2,0.303981,1000,1
1138690,0,0,250,41.97,250,3.003,6,38.41,41.97,1,1.974374,9.871872,0.2,0.303981,1000,1
1138700,0,0,250,43.82,250,3.003,8,51.22,43.82,1,1.974374,9.871872,0.2,0.303981,1000,1
1138710,0,0,250,42.74,250,3.003,6,38.41,42.74,1,1.974374,9.871872,0.2,0.303981,1000,1
1138720,0,0,250,43.15,250,3.003,7,44.81,43.15,1,1.974374,9.871872,0.2,0.303981,1000,1
1138730,0,0,250,43.49,250,3.003,7,44.81,43.49,1,1.974374,9.871872,0.2,0.303981,1000,1
1138740,0,0,250,42.47,250,3.003,6,38.41,42.47,1,1.974374,9.871872,0.2,0.303981,1000,1
1138750,0,0,250,42.94,250,3.003,7,44.81,42.94,1,1.974374,9.871872,0.2,0.303981,1000,1
1138760,0,0,250,43.31,250,3.003,7,44.81,43.31,1,1.974374,9.871872,0.2,0.303981,1000,1
1138770,0,0,250,42.33,250,3.003,6,38.41,42.33,1,1.974374,9.871872,0.2,0.303981,1000,1
1138780,0,0,250,42.83,250,3.003,7,44.81,42.83,1,1.974374,9.871872,0.2,0.303981,1000,1
1138790,0,0,250,43.23,250,3.003,7,44.81,43.23,1,1.974374,9.871872,0.2,0.303981,1000,1
1138800,0,0,250,42.26,250,3.003,6,38.41,42.26,1,1.974374,9.871872,0.2,0.303981,1000,1
1138810,0,0,250,44.05,250,3.003,8,51.22,44.05,1,1.974374,9.871872,0.2,0.303981,1000,1
1138820,0,0,250,42.93,250,3.003,6,38.41,42.93,1,1.974374,9.871872,0.2,0.303981,1000,1
1138830,0,0,250,43.3,250,3.003,7,44.81,43.3,1,1.974374,9.871872,0.2,0.303981,1000,1
1138840,0,0,250,43.61,250,3.003,7,44.81,43.61,1,1.974374,9.871872,0.2,0.303981,1000,1
1138850,0,0,250,42.57,250,3.003,6,38.41,42.57,1,1.974374,9.871872,0.2,0.303981,1000,1
1138860,0,0,250,43.02,250,3.003,7,44.81,43.02,1,1.974374,9.871872,0.2,0.303981,1000,1
1138870,0,0,250,43.38,250,3.003,7,44.81,43.38,1,1.974374,9.871872,0.2,0.303981,1000,1
1138880,0,0,250,43.66,250,3.003,7,44.81,43.66,1,1.974374,9.871872,0.2,0.303981,1000,1
1138890,0,0,250,43.89,250,3.003,7,44.81,43.89,1,1.974374,9.871872,0.2,0.303981,1000,1
